Cluster,Cell_type,Cell_subtype
6,Non-neuronal,Astrocytes
11,Non-neuronal,Astrocytes
35,Other,Blood_and_immune_system_cells
23,Non-neuronal,Ependymal
9,Glutamatergic_neurons,EXC_GLU-1
0,Glutamatergic_neurons,EXC_GLU-2
8,Glutamatergic_neurons,EXC_GLU-2
16,Glutamatergic_neurons,EXC_GLU-2
21,Glutamatergic_neurons,EXC_GLU-2
1,Glutamatergic_neurons,EXC_GLU-3
7,Glutamatergic_neurons,EXC_GLU-4
17,Glutamatergic_neurons,EXC_GLU-4
18,Glutamatergic_neurons,EXC_GLU-4
3,Glutamatergic_neurons,EXC_GLU-5
4,Glutamatergic_neurons,EXC_GLU-5
13,Glutamatergic_neurons,EXC_GLU-5
33,Glutamatergic_neurons,EXC_GLU-6
2,Glutamatergic_neurons,EXC_GLU-7
5,Glutamatergic_neurons,EXC_GLU-7
10,Glutamatergic_neurons,EXC_GLU-7
24,Glutamatergic_neurons,EXC_GLU-7
30,Glutamatergic_neurons,EXC_GLU-7
12,Glutamatergic_neurons,EXC_IMN
34,Gabaergic_neurons,INH_1
31,Gabaergic_neurons,INH_2
29,Gabaergic_neurons,INH_LAMP5
26,Gabaergic_neurons,INH_MEIS2-COL12A1
14,Gabaergic_neurons,INH_PVALB
15,Gabaergic_neurons,INH_PVALB
27,Gabaergic_neurons,INH_SST
28,Gabaergic_neurons,INH_SST
22,Gabaergic_neurons,INH_STR
19,Gabaergic_neurons,INH_VIP
32,Other,Microglia_Endothelial_Vascular
20,Non-neuronal,Oligodendrocytes_PC
25,Non-neuronal,Oligodendrocytes_PC